row_id,umidade_pct,temp_c,ldr,ph_sim,ph_ok,n_ok,p_ok,k_ok,faltando,limiar_on,limiar_off,rain_mm,pop_pct,irrigacao,source_file,label
1,43.0,24.0,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,milho
2,43.0,24.0,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,milho
3,43.0,24.0,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
4,43.0,24.0,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
5,43.0,24.0,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
6,43.0,69.2,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
7,43.0,69.2,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
8,43.0,-15.8,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,soja
9,43.0,-25.3,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,soja
10,43.0,-25.3,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,soja
11,43.0,-25.3,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,soja
12,43.0,18.2,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,soja
13,43.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
14,43.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
15,84.5,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,soja
16,73.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,soja
17,51.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,soja
18,51.0,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,DESLIGADA,Log Wokwi.txt,soja
19,41.5,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
20,33.5,26.7,1979,6.77,SIM,0,0,0,3,44.0,49.0,0.0,0,LIGADA,Log Wokwi.txt,milho
